样本方案,事件,事件日期,基准指数,事件窗口,比较名称,A样本数,B样本数,A均值,B均值,A减B差异,Welch_t值,原始p值,p_BH全局,p_Bonferroni全局,BH全局5%显著,Bonferroni全局5%显著
剔除机器冲突公司,DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-1,+1]",上游 vs 中游,17,17,0.038945797985700116,0.0035538192780493368,0.035391978707650776,1.9472326397832116,0.06058148234588703,0.09087222351883055,1.0,False,False
剔除机器冲突公司,DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-3,+3]",上游 vs 下游,17,8,0.03885930725184957,-0.012734791240771575,0.05159409849262114,1.8737978304587928,0.07527061588480356,0.10158103710295849,1.0,False,False
剔除机器冲突公司,DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-3,+3]",中游 vs 下游,17,8,-0.006920678206779548,-0.012734791240771575,0.005814113033992027,0.26108849271225415,0.7964241082474962,0.7964241082474962,1.0,False,False
剔除机器冲突公司,DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-3,+3]",上游 vs 中游,17,17,0.03885930725184957,-0.006920678206779548,0.045779985458629116,1.4229197227298616,0.16505201196767258,0.18568351346363166,1.0,False,False
剔除机器冲突公司,DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-5,+5]",上游 vs 下游,17,8,-0.0406865431242061,0.038907037246478544,-0.07959358037068465,-2.3336534600669507,0.028926291759429762,0.06508415645871697,1.0,False,False
剔除机器冲突公司,DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-5,+5]",中游 vs 下游,17,8,0.08180374323985207,0.038907037246478544,0.04289670599337352,1.0817749059999315,0.2906080593142775,0.3202619429177752,1.0,False,False
剔除机器冲突公司,DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-5,+5]",上游 vs 中游,17,17,-0.0406865431242061,0.08180374323985207,-0.12249028636405818,-2.833253335067241,0.008089652025333538,0.024268956076000617,0.4368412093680111,True,False
剔除机器冲突公司,DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-1,+1]",上游 vs 下游,17,8,0.029235635946253332,-0.06031381888435076,0.08954945483060409,3.7763403867751615,0.0027405908176046136,0.012551008531736513,0.14799190415064914,True,False
剔除机器冲突公司,DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-1,+1]",中游 vs 下游,17,8,-0.006181746456395853,-0.06031381888435076,0.054132072427954904,2.1880934493331416,0.04692579776521136,0.08361502427906238,1.0,False,False
剔除机器冲突公司,DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-1,+1]",上游 vs 中游,17,17,0.029235635946253332,-0.006181746456395853,0.03541738240264918,1.9634525951149349,0.05853914949681264,0.09031754493793949,1.0,False,False
剔除机器冲突公司,DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-3,+3]",上游 vs 下游,17,8,0.04150975070662761,-0.011621765523766151,0.05313151623039376,1.9316967148308961,0.06735656075648863,0.09830416975271314,1.0,False,False
剔除机器冲突公司,DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-3,+3]",中游 vs 下游,17,8,-0.0053769128035544705,-0.011621765523766151,0.006244852720211681,0.2791700298548538,0.7827011517360556,0.7964241082474962,1.0,False,False
剔除机器冲突公司,DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-3,+3]",上游 vs 中游,17,17,0.04150975070662761,-0.0053769128035544705,0.04688666351018208,1.4532005743929814,0.15649017656784403,0.18168700149801065,1.0,False,False
剔除机器冲突公司,DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-5,+5]",上游 vs 下游,17,8,-0.0322708664416004,0.05023718142459123,-0.08250804786619162,-2.388834178677203,0.025811356613575774,0.06335514805150418,1.0,False,False
剔除机器冲突公司,DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-5,+5]",中游 vs 下游,17,8,0.09247065829004099,0.05023718142459123,0.04223347686544976,1.0500016555464207,0.30463987000923554,0.32255986236272,1.0,False,False
剔除机器冲突公司,DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-5,+5]",上游 vs 中游,17,17,-0.0322708664416004,0.09247065829004099,-0.12474152473164138,-2.876746857393563,0.007275140021566865,0.024268956076000617,0.3928575611646107,True,False
剔除机器冲突公司,DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-1,+1]",上游 vs 下游,17,8,0.01619936390982162,-0.07434521304135766,0.09054457695117928,3.840381751083987,0.0023702663153934225,0.012551008531736513,0.12799438103124483,True,False
剔除机器冲突公司,DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-1,+1]",中游 vs 下游,17,8,-0.02073584719710583,-0.07434521304135766,0.05360936584425183,2.1942514037593512,0.04648068927244617,0.08361502427906238,1.0,False,False
剔除机器冲突公司,DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-1,+1]",上游 vs 中游,17,17,0.01619936390982162,-0.02073584719710583,0.03693521110692745,2.0574741641444296,0.04800121764168396,0.08361502427906238,1.0,False,False
剔除机器冲突公司,DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-3,+3]",上游 vs 下游,17,8,0.03132905002792888,-0.02103486998130155,0.05236392000923043,1.8963615359542332,0.07186408680646372,0.09950412019356515,1.0,False,False
剔除机器冲突公司,DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-3,+3]",中游 vs 下游,17,8,-0.015081924487404193,-0.02103486998130155,0.005952945493897358,0.26522287670742317,0.7932518462053697,0.7964241082474962,1.0,False,False
剔除机器冲突公司,DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-3,+3]",上游 vs 中游,17,17,0.03132905002792888,-0.015081924487404193,0.046410974515333075,1.447354681604871,0.15813498278530558,0.18168700149801065,1.0,False,False
剔除机器冲突公司,DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-5,+5]",上游 vs 下游,17,8,-0.04588708530615809,0.0347737850566914,-0.0806608703628495,-2.3585735777429226,0.027410914674896637,0.06435606054106166,1.0,False,False
剔除机器冲突公司,DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-5,+5]",中游 vs 下游,17,8,0.0764990274131441,0.0347737850566914,0.041725242356452696,1.057979075811023,0.30108491117548924,0.32255986236272,1.0,False,False
剔除机器冲突公司,DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-5,+5]",上游 vs 中游,17,17,-0.04588708530615809,0.0764990274131441,-0.12238611271930219,-2.838869107368171,0.007960383704570117,0.024268956076000617,0.4298607200467863,True,False
剔除机器冲突公司,DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-1,+1]",上游 vs 下游,17,8,0.021048645689782066,-0.03561894429696036,0.05666758998674243,2.929475436991828,0.012694390073106087,0.03264271733084422,0.6854970639477287,True,False
剔除机器冲突公司,DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-1,+1]",中游 vs 下游,17,8,-0.0019485611104341476,-0.03561894429696036,0.03367038318652621,1.9002776262357541,0.09077340025320703,0.10892808030384844,1.0,False,False
剔除机器冲突公司,DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-1,+1]",上游 vs 中游,17,17,0.021048645689782066,-0.0019485611104341476,0.022997206800216212,2.0294978379749704,0.0526680540138549,0.08887734114838015,1.0,False,False
剔除机器冲突公司,DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-3,+3]",上游 vs 下游,17,8,-0.04154683766454626,-0.15499820446584486,0.11345136680129861,3.4460673274430658,0.0063390275534929985,0.023618135515258612,0.3423074878886219,True,False
剔除机器冲突公司,DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-3,+3]",中游 vs 下游,17,8,-0.07645951644337592,-0.15499820446584486,0.07853868802246894,2.382829899669519,0.03851158977937593,0.07889089146253671,1.0,False,False
剔除机器冲突公司,DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-3,+3]",上游 vs 中游,17,17,-0.04154683766454626,-0.07645951644337592,0.03491267877882966,1.82644330024072,0.07712634298557959,0.10158103710295849,1.0,False,False
剔除机器冲突公司,DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-5,+5]",上游 vs 下游,17,8,0.03104499818679789,-0.14897368732325753,0.18001868551005543,6.678987926787534,6.171529130878872e-06,0.00011108752435581969,0.00033326257306745907,True,True
剔除机器冲突公司,DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-5,+5]",中游 vs 下游,17,8,-0.04709096378708929,-0.14897368732325753,0.10188272353616823,3.82206931334733,0.0016499248462285747,0.01113699271204288,0.08909594169634304,True,False
剔除机器冲突公司,DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-5,+5]",上游 vs 中游,17,17,0.03104499818679789,-0.04709096378708929,0.07813596197388718,3.390389492264764,0.0018717059808268017,0.011230235884960811,0.10107212296464729,True,False
剔除机器冲突公司,DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-1,+1]",上游 vs 下游,17,8,0.026391644846397125,-0.030376145997889476,0.0567677908442866,2.9604648178212707,0.011854035242619106,0.03264271733084422,0.6401179031014317,True,False
剔除机器冲突公司,DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-1,+1]",中游 vs 下游,17,8,0.0034876787061533824,-0.030376145997889476,0.03386382470404286,1.9296321443712676,0.08630092286818562,0.10678404879640607,1.0,False,False
