事件,事件日期,基准指数,Stkcd,Alpha,Beta,估计窗口观测值,"CAR[-1,+1]","窗口交易日数[-1,+1]","CAR[-3,+3]","窗口交易日数[-3,+3]","CAR[-5,+5]","窗口交易日数[-5,+5]",股票代码,冻结Layer,机器建议与原始Layer是否冲突
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300078,-0.0002807847271648,2.232919697713939,221,-0.0386595449157212,3,-0.0397836151993078,7,-0.0083630365479681,11,300078,中游,是
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300168,0.0001731276023796,2.012594878351921,221,-0.0155363145468867,3,-0.0427963186133852,7,0.0027209096708371,11,300168,下游,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300170,0.0002574098328937,2.1069054723275693,221,0.122203537076283,3,0.2958086587509669,7,0.5348417786114934,11,300170,下游,是
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300188,-0.0003310123910735,2.224488171602652,221,-0.0112037878772392,3,-0.0389975327487585,7,0.0361683475858994,11,300188,下游,是
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300223,-2.4352570969789776e-05,1.9259564599150931,221,0.0296390737561273,3,0.023640106150353,7,0.0091042930997041,11,300223,上游,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300229,0.0012999478443538,2.1981647444307884,221,-0.0092768972176852,3,-0.0899648798474138,7,0.2072566863877831,11,300229,中游,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300253,-0.0001100610938466,1.9080290408589415,221,-0.0003905883652583,3,-0.0192104567318291,7,0.0051858453504415,11,300253,下游,是
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300308,0.0022118886860289,1.9177160272624905,221,-0.0095271738791168,3,0.1112854671668565,7,-0.0430115897733475,11,300308,上游,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300365,-0.00040361475354,2.039279672183412,221,-0.012349285644238,3,-0.0818642336623012,7,-0.0152350851983423,11,300365,中游,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300394,0.0024403525242268,1.78548475684471,221,0.0796624531145363,3,0.2375787865847017,7,0.0868911179297741,11,300394,上游,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300451,-0.0011741619528669,2.078864409942984,221,-0.0192138149901761,3,-0.0725555237182031,7,-0.0414006194387715,11,300451,中游,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300474,0.0008829538707443,1.9353941938917916,221,-0.0199756732940853,3,-0.0714895493638447,7,-0.1448130126499347,11,300474,上游,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300476,0.0036845400194257,2.272313455226268,221,0.0867136547841095,3,0.1749509393549995,7,0.0030777657271414,11,300476,上游,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300496,-0.001706531777056,1.849623453962565,221,0.0664454423160346,3,0.0566333721638279,7,0.1771471265482762,11,300496,中游,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300502,0.0041340010926859,1.809438213666266,221,0.1025375723058105,3,0.1689645290232244,7,0.0680801346799853,11,300502,上游,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300624,0.0010541238347668,1.911114041991436,221,0.0177126297134339,3,-0.0072685253643079,7,0.1233565381435398,11,300624,中游,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300634,0.0005904639061557,2.1761944494034493,221,0.005112822566325,3,0.0411732898516861,7,0.398267701179878,11,300634,中游,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300781,0.0031052293187463,2.104702982865236,217,-0.0471497716281196,3,-0.0372637867818787,7,0.0885845099759552,11,300781,下游,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300785,0.001842785104518,2.238187064729328,221,-0.0324759365968067,3,-0.0379086757543541,7,0.1327493852560343,11,300785,下游,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,600183,0.0007643573713765,1.37733166566383,221,0.1613248736552078,3,0.1705591156597508,7,0.1248761857218527,11,600183,上游,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,600410,0.0016138447322703,1.255058149329927,221,-0.0784283652792423,3,0.0743411713391163,7,0.1792856667388036,11,600410,下游,是
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,600556,-0.0004504150696785,1.7636833671489254,221,-0.1449608508452428,3,0.0222074853896885,7,0.0501727196606806,11,600556,下游,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,600570,0.000251810188423,1.4460605388168617,221,0.0085315151689064,3,-0.0103896875491744,7,0.0026196557527863,11,600570,下游,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,603019,0.002943340804773,1.3144889380216331,221,0.0082155591578779,3,0.0023736871149155,7,0.0186511220854233,11,603019,上游,是
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,603160,0.0008240654805431,1.1773657939985744,211,0.034730798774604,3,0.0247700873986568,7,0.0128567552224225,11,603160,中游,是
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,603986,-0.0003459582969335,1.5263844233616424,221,0.0292864404122771,3,0.0174937490306446,7,0.0287592668411871,11,603986,上游,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,688008,0.0003767953855579,1.656565571150849,221,0.056260978682357,3,0.0577872768197497,7,0.0147184720925381,11,688008,上游,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,688012,0.0012319903832954,1.5745223721528316,221,-0.012899531895775,3,-0.0173620790358956,7,-0.0469847256469336,11,688012,上游,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,688023,-0.0021862478015527,1.972669933438692,221,0.0029299297281006,3,-0.0102678591170958,7,0.0649998369840016,11,688023,中游,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,688041,0.0021038274605691,1.5877299960894111,221,-0.0077104838827652,3,-0.1023823988348323,7,-0.1945752049086908,11,688041,上游,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,688088,-0.0006972677500494,2.227251215014294,221,0.1185822312388093,3,0.1985994296184292,7,0.2593452206512224,11,688088,中游,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,688111,-0.0003344632484082,2.09009317364513,221,0.0147947250919118,3,0.0328677004939984,7,0.1624752638457058,11,688111,中游,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,688228,-0.0011908829797048,2.446642346119693,221,-0.0295745365878742,3,-0.0012195373207961,7,0.1809706647334787,11,688228,下游,是
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,688256,0.0065502356096499,1.9041069529233503,221,0.0283618684631439,3,-0.1370330999710798,7,-0.3484789897611389,11,688256,上游,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,688327,-0.0011034553831045,2.4166893066324078,221,-0.0112746529610238,3,-0.0062103434258943,7,0.0813587206059691,11,688327,中游,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,688369,-0.0018546014528286,2.1623293021573318,221,0.0423350502787105,3,0.0936312184705554,7,0.309636644987544,11,688369,下游,是
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,688981,0.0020919660683618,1.429876331957873,221,0.04571069270589,3,-0.0264462821374354,7,-0.0469530799309983,11,688981,上游,否
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,977,0.0010611676993006,1.3512795589490894,221,-0.0099885149063799,3,-0.0012423959681843,7,0.0426222254031785,11,000977,上游,是
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,988,6.084373255222916e-05,1.4381552046888335,221,0.0762778914159635,3,0.0611963000594786,7,0.1100653032028775,11,000988,上游,是
