剔除公司代码,公司层级,上游相对下游系数,上游相对下游标准误,上游相对下游p值,上游系数相对全样本变化,上游系数变化绝对值,中游相对下游系数,中游相对下游标准误,中游相对下游p值,中游系数相对全样本变化,中游系数变化绝对值
688041,上游,0.05848276934631218,0.015445813784163652,0.00015466461589275227,0.002269446087816651,0.002269446087816651,-0.01344075122518873,0.008169707803577274,0.09999191350578096,2.7391972807185375e-05,2.7391972807185375e-05
002281,上游,0.0540725320398102,0.015569303740453054,0.000518973484921581,-0.002140791218685323,0.002140791218685323,-0.01348941767430332,0.008170654974370398,0.09880941612445993,-2.127447630740492e-05,2.127447630740492e-05
300058,下游,0.058352011239836,0.015335012138137788,0.00014340365508980213,0.0021386879813404744,0.0021386879813404744,-0.010993200526733632,0.008133594830675479,0.1765707028675405,0.0024749426712622827,0.0024749426712622827
688111,中游,0.05421289277665675,0.015077493873655826,0.00032672549754986235,-0.0020004304818387747,0.0020004304818387747,-0.010945942910347376,0.007779468558576013,0.15948033268275874,0.002522200287648539,0.002522200287648539
002049,上游,0.05816927573010255,0.015817102477430768,0.0002378823710016409,0.001955952471607021,0.001955952471607021,-0.01346281495433191,0.008166955629966825,0.09932296596571555,5.328243664004528e-06,5.328243664004528e-06
300394,上游,0.05461991194418962,0.015460105349557898,0.000414631527525966,-0.0015934113143059037,0.0015934113143059037,-0.013447039629973618,0.008179212385711654,0.10022830362364976,2.1103568022297348e-05,2.1103568022297348e-05
300075,下游,0.054660073649558126,0.015201874024276937,0.00032673519147463637,-0.0015532496089374,0.0015532496089374,-0.015008484701276291,0.00837809467942492,0.07328995050553777,-0.0015403415032803763,0.0015403415032803763
002368,下游,0.05471114813034297,0.015293515216142393,0.0003502876748748829,-0.0015021751281525594,0.0015021751281525594,-0.015144736952128876,0.008355855439213996,0.06997327796580755,-0.0016765937541329615,0.0016765937541329615
300168,下游,0.054742278247097174,0.015262954383908308,0.0003381908004038703,-0.0014710450113983517,0.0014710450113983517,-0.015067181379707468,0.008354541838179783,0.07137402109004576,-0.0015990381817115526,0.0015990381817115526
688327,中游,0.05757246519901463,0.015145022329038733,0.00014556476353333458,0.0013591419405191013,0.0013591419405191013,-0.013051306311205652,0.008250871197366625,0.11375551900355974,0.00041683688679026304,0.00041683688679026304
688369,下游,0.057399751218964234,0.015277926281304043,0.00017388108696225757,0.0011864279604687084,0.0011864279604687084,-0.012727673736335716,0.00845691581945286,0.13238635794793607,0.0007404694616601985,0.0007404694616601985
688012,上游,0.05510202628406021,0.015701895326053532,0.0004532909832897225,-0.0011112969744353149,0.0011112969744353149,-0.013644112587159456,0.008159983153377046,0.0945715179730986,-0.00017596938916354145,0.00017596938916354145
300253,下游,0.05726164974761958,0.015383836229895904,0.000199658377566303,0.001048326489124056,0.001048326489124056,-0.01263163272848934,0.008485629169224925,0.13665782034513896,0.0008365104695065746,0.0008365104695065746
002131,下游,0.05726115746854212,0.015372461527828214,0.0001975220607164374,0.0010478342100465957,0.0010478342100465957,-0.01219505274437938,0.008427626442643213,0.147950098275611,0.0012730904536165343,0.0012730904536165343
300170,下游,0.05719690578735287,0.015335143614732864,0.0001937500558581995,0.0009835825288573435,0.0009835825288573435,-0.01227606670450184,0.00844848588296691,0.14627251450091938,0.0011920764934940757,0.0011920764934940757
002253,中游,0.05523141350033128,0.015168225762191949,0.000274041877381892,-0.0009819097581642428,0.0009819097581642428,-0.013651456454789214,0.008280044079981898,0.09926797573537005,-0.00018331325679329935,0.00018331325679329935
688023,中游,0.0552432642051409,0.0151676214290188,0.0002730544656901479,-0.0009700590533546286,0.0009700590533546286,-0.013353725917283892,0.008256276424490136,0.10585398120927558,0.00011441728071202341,0.00011441728071202341
300365,中游,0.05526692948229146,0.015197009590132341,0.00027892356321190803,-0.0009463937762040631,0.0009463937762040631,-0.013976021080247047,0.008221846312722426,0.08921839701142331,-0.0005078778822511319,0.0005078778822511319
300036,下游,0.055283213351091695,0.015308269076684458,0.0003076045154237761,-0.000930109907403831,0.000930109907403831,-0.014562486727553461,0.008463243382608359,0.08537148655465554,-0.0010943435295575465,0.0010943435295575465
688088,中游,0.05702930486805954,0.015183999140066821,0.00017468492493222243,0.0008159816095640107,0.0008159816095640107,-0.012774135453733895,0.008229977382779932,0.12068994475065309,0.00069400774426202,0.00069400774426202
600570,下游,0.05542241092759077,0.015380107315522838,0.00031698549599390446,-0.0007909123309047528,0.0007909123309047528,-0.014100741832493909,0.008522320010705206,0.09807500890684473,-0.0006325986344979939,0.0006325986344979939
000997,中游,0.05545649631631813,0.01516598070723344,0.00025815969698528285,-0.0007568269421773938,0.0007568269421773938,-0.013741551737797616,0.008233701908508617,0.09519164420882653,-0.0002734085398017009,0.0002734085398017009
000988,上游,0.05548310757288619,0.015763590968814533,0.0004358655994698424,-0.0007302156856093395,0.0007302156856093395,-0.013474822989117037,0.008177327216037297,0.09945064853263719,-6.679791121122491e-06,6.679791121122491e-06
300188,下游,0.055552432153247296,0.015351152331970246,0.00029890803736121185,-0.0006608911052482305,0.0006608911052482305,-0.014121609680857183,0.008484461542291152,0.09609318726199945,-0.0006534664828612684,0.0006534664828612684
300502,上游,0.055596439699035334,0.015353521824498041,0.0002962608936216693,-0.0006168835594601921,0.0006168835594601921,-0.01325342609410694,0.008226543838628976,0.10723024830809669,0.00021471710388897523,0.00021471710388897523
300078,中游,0.055748879997994376,0.015539765186036412,0.00033704528210964924,-0.0004644432605011503,0.0004644432605011503,-0.014364056621325378,0.008276147985412081,0.08269645219737631,-0.0008959134233294634,0.0008959134233294634
300496,中游,0.05575971753950146,0.015283322833151538,0.00026655263980801536,-0.00045360571899406843,0.00045360571899406843,-0.014035376780924765,0.008244974953725084,0.08876200969042336,-0.0005672335829288496,0.0005672335829288496
002065,下游,0.056642170532628086,0.015414595950333012,0.0002407235134296304,0.00042884727413255996,0.00042884727413255996,-0.012986592745239075,0.008520511520829815,0.1275325709856947,0.0004815504527568397,0.0004815504527568397
300020,下游,0.05584432587060061,0.01529325699039406,0.0002632996504698948,-0.0003689973878949135,0.0003689973878949135,-0.01335763092964193,0.008506520655705029,0.11641263933527823,0.00011051226835398498,0.00011051226835398498
688008,上游,0.05657799838258509,0.015759931412905336,0.0003338439484472655,0.0003646751240895668,0.0003646751240895668,-0.013363953668253091,0.008185206462420602,0.10259554543975513,0.00010418952974282358,0.00010418952974282358
002371,上游,0.05588160113214052,0.01564462894400514,0.0003576728224385928,-0.00033172212635500936,0.00033172212635500936,-0.013579565492041925,0.008175208133985834,0.09676246026742574,-0.00011142229404600967,0.00011142229404600967
002405,中游,0.056481834206922675,0.015160534387043316,0.00019700313780246503,0.0002685109484271489,0.0002685109484271489,-0.013103244448611632,0.008249061732785007,0.11224693222540161,0.0003648987493842827,0.0003648987493842827
300624,中游,0.05645650113253563,0.015182140662841272,0.00020250339578087306,0.00024317787404010138,0.00024317787404010138,-0.013272371650904693,0.008277989776307363,0.10892408252024732,0.00019577154709122212,0.00019577154709122212
300634,中游,0.056379615998869585,0.015156848317402544,0.00020159995848412215,0.0001662927403740591,0.0001662927403740591,-0.01439186099496568,0.008196365951269649,0.07916928966679948,-0.0009237177969697655,0.0009237177969697655
002607,下游,0.0563556880829441,0.015381394625362642,0.000250977237842287,0.0001423648244485709,0.0001423648244485709,-0.01516783115643842,0.008364423395191872,0.0698337407169991,-0.0016996879584425043,0.0016996879584425043
002463,上游,0.0560931340139809,0.015584806320693277,0.0003222509087101866,-0.00012018924451462354,0.00012018924451462354,-0.013483427734057475,0.008178594784582107,0.09928721127975026,-1.528453606156055e-05,1.528453606156055e-05
300451,中游,0.05633317976008365,0.01517809958721482,0.0002082824961990859,0.00011985650158812672,0.00011985650158812672,-0.014059033820935216,0.0082386907771226,0.0879834196254039,-0.000590890622939301,0.000590890622939301
600556,下游,0.05631952354983171,0.015563491405710174,0.00029900550977868257,0.00010620029133618508,0.00010620029133618508,-0.013454008482173626,0.008570609818400675,0.11652828249771985,1.4134715822289312e-05,1.4134715822289312e-05
002230,中游,0.05611476602951441,0.015207654691100154,0.00022671471914392782,-9.85572289811179e-05,9.85572289811179e-05,-0.013679791184495442,0.00826397030674539,0.09791529389253895,-0.00021164798649952674,0.00021164798649952674
603160,中游,0.05613895547076364,0.015209394113359238,0.0002256784872711748,-7.436778773188546e-05,7.436778773188546e-05,-0.013379623362273427,0.00824560760184807,0.1047298887295729,8.851983572248819e-05,8.851983572248819e-05
002439,下游,0.05614152681098033,0.015453596510687784,0.0002830404883502613,-7.179644751519748e-05,7.179644751519748e-05,-0.013397310037285132,0.008549270825379771,0.11716119404840697,7.083316071078254e-05,7.083316071078254e-05
002777,中游,0.05628474003880799,0.015186925133110929,0.00021271413670564954,7.141678031246518e-05,7.141678031246518e-05,-0.012773368956642597,0.008211403331981134,0.11987463155628197,0.000694774241353318,0.000694774241353318
300033,中游,0.056150154368454865,0.015253008122557593,0.0002345275098880606,-6.316889004066156e-05,6.316889004066156e-05,-0.013695265914273636,0.008282200300775611,0.09827571931598023,-0.0002271227162777209,0.0002271227162777209
300229,中游,0.056261526387955174,0.015201551752067412,0.0002170179890077506,4.8203129459648e-05,4.8203129459648e-05,-0.01242394379175449,0.008165325003450652,0.12818500553654943,0.001044199406241425,0.001044199406241425
002236,中游,0.056175555147669705,0.015166665527872422,0.00021460413171792148,-3.7768110825821266e-05,3.7768110825821266e-05,-0.014217722673048301,0.008198066652174698,0.08293019266452606,-0.0007495794750523865,0.0007495794750523865
002415,中游,0.05622441633191489,0.015163624052763532,0.0002112815029531312,1.1093073419364552e-05,1.1093073419364552e-05,-0.014742323396795466,0.008140369174457637,0.07019837026379161,-0.0012741801987995512,0.0012741801987995512
