================================================================================
附录：DeepSeek-V3 事件窗口新闻事件日志
窗口时间：2024-12-21 至 2024-12-31
================================================================================

| 序号 | 日期 | 企业 | 新闻标题 | 来源 | AI竞品 |
| 98 | 2024-12-25 | 东华软件股份公司 | 东华软件加码AI 近三个月斥资8亿元新设4家公司 | 搜狐-北京市 | 否 |
| 99 | 2024-12-25 | 开普云信息科技股份有限公司 | 开普云：关于出售控股子公司部分股权的公告 | 上交所股票 | 否 |
| 100 | 2024-12-25 | 开普云信息科技股份有限公司 | 开普云(688228.SH)：拟转让开普瑞曦32%的股权 | 格隆汇资讯-公司信息 | 否 |
| 101 | 2024-12-25 | 东华软件股份公司 | 东华软件荣登2024北京企业百强等3项榜单 | 微信-东华软件股份公司 | 否 |
| 102 | 2024-12-25 | 开普云信息科技股份有限公司 | 开普云：拟2080万元出售子公司开普瑞曦32%股权 | 界面新闻 | 否 |
| 103 | 2024-12-25 | 开普云信息科技股份有限公司 | 开普云：拟2080万元转让开普瑞曦32%股权 | 证券时报e公司 | 否 |
| 104 | 2024-12-25 | 虹软科技股份有限公司 | 对话欧冶半导体CEO高峰：探寻商业与技术的平衡，引领智能汽车“芯”未来 | 微信-福布斯 | 否 |
| 105 | 2024-12-25 | 启明星辰信息技术集团股份有限公 | 启明星辰成功中标中国移动国际有限公司2024年安全运维和技术支撑服务项目 | 证券时报e公司 | 否 |
| 106 | 2024-12-25 | 开普云信息科技股份有限公司 | 开普云转让子公司32%股权 交易价2080万元 | 东方财富网 | 否 |
| 107 | 2024-12-25 | 北京超图软件股份有限公司 | 超图软件与浙江省城乡规划设计研究院签署战略合作协议 | 证券时报网 | 否 |
| 108 | 2024-12-25 | 长沙景嘉微电子股份有限公司 | 景嘉微:成员单位新一代自主安全计算先进制造业创新中心 | 新浪财经 | 否 |
| 109 | 2024-12-25 | 长沙景嘉微电子股份有限公司 | 景嘉微:三方合作厂商信息公示，助力投资者评估公司发展前景 | 新浪财经 | 否 |
| 110 | 2024-12-25 | 长沙景嘉微电子股份有限公司 | 景嘉微(SZ300474)：JM11系列芯片正在进行功能、性能全面测试阶段 | 新浪财经 | 否 |
| 111 | 2024-12-25 | 长沙景嘉微电子股份有限公司 | 景嘉微(SZ300474)：JM11系列芯片已完成流片、封装阶段，全面测试推进中 | 新浪财经 | 否 |
| 112 | 2024-12-25 | 长沙景嘉微电子股份有限公司 | 景嘉微:GPU研发持续创新，40亿资金加速推进GPGPU研发 | 新浪财经 | 否 |
| 113 | 2024-12-25 | 曙光信息产业股份有限公司 | 中科曙光与2024年度流行语！ | 微信-中科曙光 | 否 |
| 114 | 2024-12-25 | 四川川大智胜软件股份有限公司 | 川大智胜：12月25日召开董事会会议 | 网易 | 否 |
| 115 | 2024-12-25 | 四川川大智胜软件股份有限公司 | 注意！川大智胜将于2025年1月10日召开股东大会 | 网易 | 否 |
| 116 | 2024-12-25 | 创业慧康科技股份有限公司 | 创业慧康：12月25日召开董事会会议 | 网易 | 否 |
| 117 | 2024-12-25 | 银江技术股份有限公司 | *ST银江实控人涉信披违规被立案 公司屡触红线 适格投资者或可索赔 | 网易 | 否 |
| 118 | 2024-12-25 | 创业慧康科技股份有限公司 | 创业慧康(300451):公司相关治理制度修订对照表 | 中国财经信息网 | 否 |
| 119 | 2024-12-25 | 开普云信息科技股份有限公司 | 开普云拟2080万元转让开普瑞曦32%股权 优化AI发展战略产业布局 | 证券时报网 | 否 |
| 120 | 2024-12-25 | 四川久远银海软件股份有限公司 | 大模型·大未来｜久远银海肖华荣：大模型技术在民生服务领域应用前景广阔 | 网易 | 否 |
| 121 | 2024-12-25 | 海光信息技术股份有限公司 | 软通动力旗下PC品牌“机械革命”斩获2024京东金榜新品金奖，软硬一体赋能产业转型升级 | 搜狐-北京市 | 否 |
| 122 | 2024-12-25 | 广东因赛品牌营销集团股份有限公 | 因赛集团：成为知名电商平台的AI营销服务商 | 证券时报网 | 否 |
| 123 | 2024-12-25 | 开普云信息科技股份有限公司 | 开普云：转让开普瑞曦股权，聚焦 AI 业务 6500 万元估值 | 搜狐-北京市 | 否 |
| 124 | 2024-12-25 | 广东因赛品牌营销集团股份有限公 | 因赛集团：AI电商营销成果显著 服务众多用户 | 和讯网 | 否 |
| 125 | 2024-12-25 | 北京数字政通科技股份有限公司 | 聚焦丨数字政通受邀出席2025年中国信通院深度观察报告会并发表主题演讲 | 微信-数字政通 | 否 |
| 126 | 2024-12-25 | 开普云信息科技股份有限公司 | 开普云2080万元出售子公司32%股权：3年前投资1530万元获得控股权，标的前九个月亏损... | 每日经济新闻 | 否 |
| 127 | 2024-12-25 | 启明星辰信息技术集团股份有限公 | 港澳市场新突破！启明星辰再揽安全服务项目 | 新浪财经 | 否 |
| 128 | 2024-12-25 | 北京华胜天成科技股份有限公司 | 双榜殊荣！华胜天成入选“2024北京数字经济企业百强”与“2024北京服务业企业百强” | 新浪财经 | 否 |
| 129 | 2024-12-25 | 启明星辰信息技术集团股份有限公 | 启明星辰入选Gartner《中国特权访问管理创新洞察》代表厂商 | 新浪财经 | 否 |
| 130 | 2024-12-25 | 曙光信息产业股份有限公司 | 深扎根 壮主干 繁枝叶 中科曙光抢占算力基础设施新高地 | 证券时报 | 否 |
| 131 | 2024-12-25 | 中公教育科技股份有限公司 | 中公教育(002607)控股的北京中公教育科技有限公司新增1条限制消费令信息 | 证券之星股票 | 否 |
| 132 | 2024-12-25 | 中科寒武纪科技股份有限公司 | 连亏7年的“AI芯片第一股”，将老板推上江西首富王座 | 网易 | 否 |
| 133 | 2024-12-26 | 北京致远互联软件股份有限公司 | 二期启动！致远互联中标兵装财务公司“国产化协同办公系统二期建设项目” | 微信-致远互联 | 否 |
| 134 | 2024-12-26 | 曙光信息产业股份有限公司 | 【科创启明星】深扎根 壮主干 繁枝叶 中科曙光抢占算力基础设施新高地 | 微信-e公司 | 否 |
| 135 | 2024-12-26 | 开普云信息科技股份有限公司 | 开普云拟转让开普瑞曦32%股权 标的公司前三季度亏损440.78万元 | 同花顺整理 | 否 |
| 136 | 2024-12-26 | 杭州安恒信息技术股份有限公司 | 欢迎申报！教育部第四期供需对接就业育人项目——安恒信息项目申报指南发布 | 微信-安恒信息 | 否 |
| 137 | 2024-12-26 | 杭州安恒信息技术股份有限公司 | 深圳市大鹏新区政数局与安恒信息签约共建数据要素创新安全实验室 | 微信-安恒信息 | 否 |
| 138 | 2024-12-26 | 北京值得买科技股份有限公司 | AI购物助手“小值”荣膺2024“人民匠心产品”，值得买科技助推消费产业高质量发展 | 飞象网 | 否 |
| 139 | 2024-12-26 | 北京金山办公软件股份有限公司 | 龙芯中科亮相2024通明湖论坛教育分论坛 | 电子发烧友网 | 否 |
| 140 | 2024-12-26 | 北京值得买科技股份有限公司 | 值得买科技AI购物助手“小值”入选2024“人民匠心产品” | 中关村-厂商动态 | 否 |
| 141 | 2024-12-26 | 启明星辰信息技术集团股份有限公 | 启明星辰集团数据安全检查工具箱正式发布，“有理有据”搞定数据安全检查“痛点”！ | 中华网 | 否 |
| 142 | 2024-12-26 | 沪士电子股份有限公司 | 2024年12月26日，沪电股份日内振幅超过7% | 同花顺金融研究中心 | 否 |
| 143 | 2024-12-26 | 广东因赛品牌营销集团股份有限公 | 因赛集团：阿里巴巴旗下平台上线因赛AI电商营销产品 | 中证网 | 否 |
| 144 | 2024-12-26 | 四川久远银海软件股份有限公司 | 久远银海：聚焦三大战略板块推进项目实施 | 金融界财经 | 否 |
