事件,事件日期,基准指数,事件窗口,比较组A,比较组B,比较名称,A组公司数,B组公司数,A组平均CAR,B组平均CAR,A减B差异,差异标准误,Welch_t值,Welch_p值,p_BH全局,p_Bonferroni全局,p_BH事件内,原始p小于0.05,BH全局通过5%,BH事件内通过5%,Bonferroni通过5%,是否主规格
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-3,+3]",中游,下游,中游 vs 下游,20,20,-0.0041674964967936,0.0106230901675201,-0.0147905866643137,0.0247196609317366,-0.5983329101947639,0.5531789076620398,0.5857188434068656,1.0,0.6223262711197948,False,False,False,False,否
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-5,+5]",上游,下游,上游 vs 下游,20,20,-0.0241719056450528,0.0911519165822184,-0.1153238222272712,0.0394034856456301,-2.926741640686822,0.0059803857695521,0.02018380197223834,0.32294083155581343,0.0266572113171996,True,True,True,False,否
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-5,+5]",上游,中游,上游 vs 中游,20,20,-0.0241719056450528,0.0817597094269265,-0.1059316150719793,0.0375538331981355,-2.820793672727893,0.0077236865323466,0.02195153014456402,0.4170790727467164,0.0266572113171996,True,True,True,False,否
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-5,+5]",中游,下游,中游 vs 下游,20,20,0.0817597094269265,0.0911519165822184,-0.0093922071552918,0.0431644266770039,-0.217591379715825,0.8289184544480658,0.8446417154903877,1.0,0.8446417154903877,False,False,False,False,否
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-1,+1]",上游,下游,上游 vs 下游,20,20,0.0233833152234136,-0.017920018982997,0.0413033342064106,0.0118526672759444,3.4847290694000845,0.0013090532553877,0.00471259171939572,0.0706888757909358,0.002945369824622325,True,True,True,False,否
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-1,+1]",上游,中游,上游 vs 中游,20,20,0.0233833152234136,0.0010449014679518,0.0223384137554618,0.0105878955160509,2.109806780922366,0.0434650065085797,0.0711245561049486,1.0,0.055883579796745325,True,False,False,False,否
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-1,+1]",中游,下游,中游 vs 下游,20,20,0.0010449014679518,-0.017920018982997,0.0189649204509488,0.0089669024939677,2.114991265234228,0.0418852907313837,0.0711245561049486,1.0,0.055883579796745325,True,False,False,False,否
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-3,+3]",上游,下游,上游 vs 下游,20,20,-0.0144433859833234,-0.1007991004315183,0.0863557144481948,0.0206292514659067,4.186080846942606,0.000175138548638,0.001351068803778857,0.009457481626452,0.0006755344018894285,True,True,True,True,否
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-3,+3]",上游,中游,上游 vs 中游,20,20,-0.0144433859833234,-0.0604348378092065,0.045991451825883,0.0182458652338302,2.520650637088392,0.0160360447314795,0.036081100645828874,0.865946415499893,0.0288648805166631,True,True,True,False,否
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-3,+3]",中游,下游,中游 vs 下游,20,20,-0.0604348378092065,-0.1007991004315183,0.0403642626223117,0.0208697486906355,1.93410391378712,0.0609135504706135,0.09579810927230324,1.0,0.07184858195422743,False,False,False,False,否
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-5,+5]",上游,下游,上游 vs 下游,20,20,0.032483451863284,-0.0907957677704002,0.1232792196336843,0.0252463843527693,4.883044554463548,2.1660313217853807e-05,0.0005848284568820528,0.0011696569137641057,0.0002924142284410264,True,True,True,True,否
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-5,+5]",上游,中游,上游 vs 中游,20,20,0.032483451863284,-0.056035439100626,0.08851889096391,0.0215173522175375,4.113837523734135,0.0002015614801361,0.0013605399909186748,0.010884319927349399,0.0006802699954593374,True,True,True,True,否
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-5,+5]",中游,下游,中游 vs 下游,20,20,-0.056035439100626,-0.0907957677704002,0.0347603286697742,0.0248799134548421,1.3971241794255205,0.1711205412576331,0.21001157336164064,1.0,0.17770210053677285,False,False,False,False,否
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-1,+1]",上游,下游,上游 vs 下游,20,20,0.0147269052724271,-0.0480545339613995,0.0627814392338267,0.0165815265861138,3.7862279391333566,0.0005643148700513,0.00304730029827702,0.0304730029827702,0.0082406778265746,True,True,True,True,否
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-1,+1]",上游,中游,上游 vs 中游,20,20,0.0147269052724271,-0.0205143005805707,0.0352412058529978,0.0155569528735199,2.2653026038912314,0.0294130699895926,0.06353223117752002,1.0,0.07941528897190002,True,False,False,False,否
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-1,+1]",中游,下游,中游 vs 下游,20,20,-0.0205143005805707,-0.0480545339613995,0.0275402333808288,0.0176470718328651,1.5606120744371388,0.1269981900519468,0.17372620577121606,1.0,0.20268057339975207,False,False,False,False,否
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-3,+3]",上游,下游,上游 vs 下游,20,20,0.0288946029575129,0.0009457302465707,0.0279488727109422,0.0280591439629173,0.996070042189426,0.3257171917916869,0.37422826290959776,1.0,0.43971820891877733,False,False,False,False,否
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-3,+3]",上游,中游,上游 vs 中游,20,20,0.0288946029575129,-0.0141325104378643,0.0430271133953772,0.0273350325322885,1.5740648321728912,0.1242465904069662,0.17372620577121606,1.0,0.20268057339975207,False,False,False,False,否
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-3,+3]",中游,下游,中游 vs 下游,20,20,-0.0141325104378643,0.0009457302465707,-0.015078240684435,0.0246240173912009,-0.6123387766052766,0.543976595887805,0.5857188434068656,1.0,0.6223262711197948,False,False,False,False,否
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-5,+5]",上游,下游,上游 vs 下游,20,20,-0.0377965529237118,0.0749523250887276,-0.1127488780124394,0.0392958635353234,-2.869230190375849,0.0069100564134442,0.0216106000379622,0.3731430463259868,0.0266572113171996,True,True,True,False,否
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-5,+5]",上游,中游,上游 vs 中游,20,20,-0.0377965529237118,0.0658365858705453,-0.1036331387942571,0.0373395261380379,-2.775427262015669,0.008640715677432,0.02284903827188537,0.466598646581328,0.0266572113171996,True,True,True,False,否
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-5,+5]",中游,下游,中游 vs 下游,20,20,0.0658365858705453,0.0749523250887276,-0.0091157392181822,0.0427330074100325,-0.2133184573394226,0.8322266060026041,0.8446417154903877,1.0,0.8446417154903877,False,False,False,False,否
