事件,事件日期,基准指数,事件窗口,比较组A,比较组B,比较名称,A组公司数,B组公司数,A组平均CAR,B组平均CAR,A减B差异,差异标准误,Welch_t值,Welch_p值,p_BH全局,p_Bonferroni全局,p_BH事件内,原始p小于0.05,BH全局通过5%,BH事件内通过5%,Bonferroni通过5%,是否主规格,结果类别,公司数,产业链梯度斜率,标准误,t值,p值,R平方
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-3,+3]",上游,中游,上游 vs 中游,20.0,20.0,-0.042691319552429,-0.091685733367721,0.0489944138152919,0.0185753764898395,2.637600042297455,0.0120336844158015,0.029537225384240043,0.649818958453281,0.02499303686358773,True,True,True,False,否,两两比较稳健性,,,,,,
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-3,+3]",中游,下游,中游 vs 下游,20.0,20.0,-0.091685733367721,-0.1319099109986041,0.0402241776308831,0.0210470975113149,1.911150818266436,0.0638654061815355,0.09579810927230324,1.0,0.07184858195422743,False,False,False,False,否,两两比较稳健性,,,,,,
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-5,+5]",上游,下游,上游 vs 下游,20.0,20.0,0.0185718455343802,-0.1105289211101817,0.129100766644562,0.0250713459715185,5.149335292617425,9.468381861583129e-06,0.000511292620525489,0.000511292620525489,0.0002556463102627445,True,True,True,True,否,两两比较稳健性,,,,,,
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-5,+5]",上游,中游,上游 vs 中游,20.0,20.0,0.0185718455343802,-0.0744801984785552,0.0930520440129355,0.021519200056711,4.324140477699396,0.0001070222609299,0.001351068803778857,0.0057792020902145995,0.0006755344018894285,True,True,True,True,否,两两比较稳健性,,,,,,
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-5,+5]",中游,下游,中游 vs 下游,20.0,20.0,-0.0744801984785552,-0.1105289211101817,0.0360487226316265,0.0246702029436109,1.4612252162669137,0.1527779453104507,0.19186067550614735,1.0,0.16500018093528673,False,False,False,False,否,两两比较稳健性,,,,,,
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-1,+1]",上游,下游,上游 vs 下游,20.0,20.0,0.0276646431784611,-0.033367681037702,0.0610323242161631,0.0166723392172669,3.660693524814688,0.0008149486559301,0.004000657038202309,0.0440072274202254,0.0082406778265746,True,True,True,True,否,两两比较稳健性,,,,,,
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-1,+1]",上游,中游,上游 vs 中游,20.0,20.0,0.0276646431784611,-0.0059149222570916,0.0335795654355528,0.0156171631427977,2.15017062500489,0.0381635376420258,0.0711245561049486,1.0,0.09367413784860879,True,False,False,False,否,两两比较稳健性,,,,,,
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-1,+1]",中游,下游,中游 vs 下游,20.0,20.0,-0.0059149222570916,-0.033367681037702,0.0274527587806103,0.0178893464971526,1.5345870116037994,0.1332636241220204,0.17372620577121606,1.0,0.20268057339975207,False,False,False,False,否,两两比较稳健性,,,,,,
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-3,+3]",上游,下游,上游 vs 下游,20.0,20.0,0.0387581766199011,0.0106230901675201,0.028135086452381,0.0281262388863207,1.000314566270165,0.3236988455992367,0.37422826290959776,1.0,0.43971820891877733,False,False,False,False,否,两两比较稳健性,,,,,,
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-3,+3]",上游,中游,上游 vs 中游,20.0,20.0,0.0387581766199011,-0.0041674964967936,0.0429256731166948,0.0275082599070066,1.5604648662549985,0.1274076251437914,0.17372620577121606,1.0,0.20268057339975207,False,False,False,False,否,两两比较稳健性,,,,,,
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-3,+3]",中游,下游,中游 vs 下游,20.0,20.0,-0.0041674964967936,0.0106230901675201,-0.0147905866643137,0.0247196609317366,-0.5983329101947639,0.5531789076620398,0.5857188434068656,1.0,0.6223262711197948,False,False,False,False,否,两两比较稳健性,,,,,,
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-5,+5]",上游,下游,上游 vs 下游,20.0,20.0,-0.0241719056450528,0.0911519165822184,-0.1153238222272712,0.0394034856456301,-2.926741640686822,0.0059803857695521,0.02018380197223834,0.32294083155581343,0.0266572113171996,True,True,True,False,否,两两比较稳健性,,,,,,
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-5,+5]",上游,中游,上游 vs 中游,20.0,20.0,-0.0241719056450528,0.0817597094269265,-0.1059316150719793,0.0375538331981355,-2.820793672727893,0.0077236865323466,0.02195153014456402,0.4170790727467164,0.0266572113171996,True,True,True,False,否,两两比较稳健性,,,,,,
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-5,+5]",中游,下游,中游 vs 下游,20.0,20.0,0.0817597094269265,0.0911519165822184,-0.0093922071552918,0.0431644266770039,-0.217591379715825,0.8289184544480658,0.8446417154903877,1.0,0.8446417154903877,False,False,False,False,否,两两比较稳健性,,,,,,
