time,thscode,open,close,changeRatio,volume,amount
2026-05-12,300394.SZ,1297.078865485,1306.4254631922,3.1724511930586,50592092.0,17372963274.97
2026-05-13,300394.SZ,1306.4254631922,1442.7713415817,10.436560081764,72625202.0,26396649403.86
2026-05-14,300394.SZ,1505.0692765034,1495.4556331474,3.6516036912663,67986602.0,26939930630.9
2026-05-15,300394.SZ,1529.7900737044,1525.9369864863,2.0382653061225,67609568.0,26926522821.04
2026-05-18,300394.SZ,1483.97267025,1468.5603213778,-3.7600940023501,54348965.0,20863411791.62
2026-05-19,300394.SZ,1434.72182274,1384.8224357972,-5.7020392258735,54619126.0,19608345147.18
2026-05-20,300394.SZ,1374.4076554949,1369.5245350602,-1.1046831955923,41624427.0,14909383120.01
2026-05-21,300394.SZ,1374.1406098462,1286.4351889123,-6.0670213654977,41830514.0,14759278454.94
2026-05-22,300394.SZ,1319.968492523,1421.064345274,10.465288692506,57291558.0,20691160951.34
2026-05-25,300394.SZ,1422.5903204099,1513.5765878858,6.510067114094,52432152.0,20105294385.41
2026-05-26,300394.SZ,1522.160198025,1551.7641156608,2.5229993698803,47298006.0,19001726190.33
2026-05-27,300394.SZ,1541.0441403314,1635.1205074574,5.3717179663684,51827703.0,22153139734.24
2026-05-28,300394.SZ,1631.2674202394,1707.413579519,4.4212687524789,48823693.0,20991962587.2
2026-05-29,300394.SZ,1781.575971122,1736.559704614,1.7070336938064,61505539.0,28927133765.47
2026-06-01,300394.SZ,1753.9176717845,1636.1505406741,-5.7820738137083,44124299.0,19427735852.57
2026-06-02,300394.SZ,1659.80315528,1743.4265927254,6.5566125722813,47525815.0,21081925808.74
2026-06-03,300394.SZ,1911.2838576705,1897.473782691,8.835886214442,59936994.0,30156692486.41
2026-06-04,300394.SZ,1827.0118807924,1832.8868850655,-3.4038361011701,35297613.0,17054436605.88
2026-06-05,300394.SZ,1842.6149765566,1743.4265927254,-4.8808408783432,47120647.0,22474176089.7
2026-06-08,300394.SZ,1674.7577116115,1621.7682250186,-6.9781181619256,42123400.0,18150638663.51
2026-06-09,300394.SZ,1670.4849812311,1693.5272057826,4.4247371268613,35077272.0,15398699159.93
2026-06-10,300394.SZ,1594.6440169786,1568.2446471282,-7.3977293205983,44779655.0,18432385534.23
2026-06-11,300394.SZ,1573.7381576173,1572.8988712925,0.29677921572444,33328689.0,13779259437.48
2026-06-12,300394.SZ,1621.1558366635,1503.0814213933,-4.4387755102041,47428885.0,13857715111.99
2026-06-15,300394.SZ,1533.0948998558,1631.9628289084,8.5744794447411,54172844.0,15995582706.77
2026-06-16,300394.SZ,1666.8448038772,1737.1972533925,6.4483346446368,57837929.0,18459969584.19
2026-06-17,300394.SZ,1701.2987791532,1761.9142356557,1.4228080441009,46702733.0,15113944017.57
2026-06-18,300394.SZ,1738.7487522792,1800.8087077451,2.2075122217836,49185066.0,16497038463.42
2026-06-22,300394.SZ,1808.2987023703,1744.7407479793,-3.1134878193702,61927226.0,20287301974.24
2026-06-23,300394.SZ,1744.7407479793,1664.1698057968,-4.6179320495523,45830920.0,14429776922.37
2026-06-24,300394.SZ,1664.1163058352,1740.2467512042,4.5714653121584,45143207.0,14141642559.36
2026-06-25,300394.SZ,1701.726778846,1829.538187129,5.1309640924742,79669020.0,25921063834.59
2026-06-26,300394.SZ,1770.8487292443,1701.2987791532,-7.0093867883148,48193304.0,15661790120.6
2026-06-29,300394.SZ,1653.1488137054,1579.0513668775,-7.185534591195,52800062.0,15863954431.24
2026-06-30,300394.SZ,1578.2488674534,1619.3368379688,2.5512451295951,42389181.0,12828514406.51
2026-07-01,300394.SZ,1610.3488444186,1524.7489058448,-5.8411523721422,56185594.0,16319002368.28
2019-01-02,300474.SZ,36.11,35.95,-0.58075221238936,762063.0,27580423.53
2019-01-03,300474.SZ,36.0,34.6,-3.7552155771905,2821300.0,100233376.36
2019-01-04,300474.SZ,33.79,34.17,-1.242774566474,3533485.0,118452419.73
2019-01-07,300474.SZ,34.39,35.4,3.5996488147498,2706563.0,94829226.06
2019-01-08,300474.SZ,35.37,34.81,-1.6666666666667,1604888.0,56311085.46
2019-01-09,300474.SZ,34.73,35.15,0.97673082447571,2299581.0,81274978.72
2019-01-10,300474.SZ,35.0,35.05,-0.28449502133713,1520604.0,53104873.28
2019-01-11,300474.SZ,35.05,35.06,0.028530670470771,1071403.0,37526891.58
2019-01-14,300474.SZ,35.02,33.92,-3.2515687393041,1334781.0,45891604.39
2019-01-15,300474.SZ,33.93,34.63,2.0931603773585,1083170.0,37340230.21
2019-01-16,300474.SZ,34.7,34.79,0.46202714409471,1171488.0,40992328.82
2019-01-17,300474.SZ,34.7,33.84,-2.7306697326818,1137139.0,38944219.95
2019-01-18,300474.SZ,33.93,34.29,1.3297872340425,1027669.0,35052656.38
2019-01-21,300474.SZ,34.35,35.2,2.6538349372995,2421642.0,85094061.37
2019-01-22,300474.SZ,35.0,34.95,-0.71022727272727,1239761.0,43357826.05
2019-01-23,300474.SZ,34.8,35.32,1.0586552217453,1618578.0,57116423.07
2019-01-24,300474.SZ,35.32,37.0,4.7565118912797,4218109.0,154816461.58
2019-01-25,300474.SZ,36.8,36.59,-1.1081081081081,2288638.0,83855049.29
2019-01-28,300474.SZ,36.81,35.6,-2.7056572834108,1575084.0,56926990.68
2019-01-29,300474.SZ,35.7,35.13,-1.3202247191011,1443267.0,50584483.99
2019-01-30,300474.SZ,34.99,33.95,-3.3589524622829,1470124.0,50889364.43
2019-01-31,300474.SZ,34.0,33.35,-1.7673048600884,1670749.0,56308132.75
2019-02-01,300474.SZ,33.4,34.89,4.6176911544228,1667135.0,57291552.6
2019-02-11,300474.SZ,34.93,35.93,2.9807967899111,1504277.0,53614373.14
2019-02-12,300474.SZ,35.92,36.03,0.27831895352074,1402400.0,50524930.35
2019-02-13,300474.SZ,36.02,37.73,4.7182903136275,3454832.0,128706612.27
2019-02-14,300474.SZ,37.6,37.11,-1.6432547044792,2053516.0,76389573.03
2019-02-15,300474.SZ,37.2,36.91,-0.53893829156562,1743667.0,64837410.75
2019-02-18,300474.SZ,37.28,38.35,3.901381739366,2734737.0,104109229.69
2019-02-19,300474.SZ,38.4,38.34,-0.026075619295953,3869716.0,149956821.8
2019-02-20,300474.SZ,38.34,38.34,0.0,1891479.0,72122394.26
2019-02-21,300474.SZ,38.35,37.6,-1.9300991131977,2915777.0,111792216.49
2019-02-22,300474.SZ,37.8,38.48,2.3404255319149,2283287.0,86908425.96
2019-02-25,300474.SZ,39.1,41.45,7.7182952182952,5061442.0,204769124.42
