事件,事件日期,基准指数,事件窗口,比较名称,A样本数,B样本数,A均值,B均值,A减B差异,Welch_t值,原始p值,p_BH全局,p_Bonferroni全局
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-3,+3]",中游 vs 下游,24,15,-0.09980464794976178,-0.13358490399062953,0.03378025604086775,1.397235739453846,0.17553984622313498,0.2027587894854974,1.0
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-3,+3]",上游 vs 中游,21,24,-0.044126388939112235,-0.09980464794976178,0.055678259010649545,3.215158407165673,0.0024898178572421567,0.008403135268192278,0.13445016429107645
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-5,+5]",上游 vs 下游,21,15,0.014500989189805866,-0.12375416660063307,0.13825515579043893,4.578107236920178,0.0001278743084725306,0.0013810425315033304,0.006905212657516652
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-5,+5]",中游 vs 下游,24,15,-0.07403973979431507,-0.12375416660063307,0.049714426806318004,1.736781236314048,0.09782434803050025,0.1257741617535003,1.0
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-5,+5]",上游 vs 中游,21,24,0.014500989189805866,-0.07403973979431507,0.08854072898412094,4.55682480677349,4.992411896654385e-05,0.0013810425315033304,0.002695902424193368
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-1,+1]",上游 vs 下游,21,15,0.022123755335256744,-0.015170070838405275,0.03729382617366202,2.740000183391119,0.010130534967178704,0.026113599555412217,0.54704888822765
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-1,+1]",中游 vs 下游,24,15,-0.0044534935540393,-0.015170070838405275,0.010716577284365975,0.9568796292512155,0.35047369190808353,0.37851158726073025,1.0
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-1,+1]",上游 vs 中游,21,24,0.022123755335256744,-0.0044534935540393,0.026577248889296044,2.6693466350134814,0.012223582167494767,0.027503059876863228,0.6600734370447174
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-3,+3]",上游 vs 下游,21,15,-0.016149122334102477,-0.10194352965118633,0.08579440731708385,3.4992648583097408,0.0019315792767985501,0.00695368539647478,0.1043052809471217
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-3,+3]",中游 vs 下游,24,15,-0.06855258211237579,-0.10194352965118633,0.03339094753881054,1.3757168710370038,0.18244448304043137,0.20525004342048528,1.0
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-3,+3]",上游 vs 中游,21,24,-0.016149122334102477,-0.06855258211237579,0.05240345977827331,3.0987650283184336,0.003441451166974111,0.010324353500922333,0.185838363016602
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-5,+5]",上游 vs 下游,21,15,0.02853926157136909,-0.10627116495819251,0.1348104265295616,4.4455840240350035,0.00018127030928171114,0.0013983709573160573,0.0097885967012124
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-5,+5]",中游 vs 下游,24,15,-0.053842171615862744,-0.10627116495819251,0.05242899334232977,1.8239643997799788,0.08329409222114369,0.11244702449854398,1.0
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-5,+5]",上游 vs 中游,21,24,0.02853926157136909,-0.053842171615862744,0.08238143318723183,4.263815310886269,0.00012348729636363812,0.0013810425315033304,0.006668314003636458
