事件,事件日期,基准指数,Stkcd,Layer,Alpha,Beta,估计窗口观测值,"CAR[-1,+1]","窗口交易日数[-1,+1]","CAR[-3,+3]","窗口交易日数[-3,+3]","CAR[-5,+5]","窗口交易日数[-5,+5]"
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,603160,中游,0.000716495729380513,1.1767657712552884,221,-0.006586609458608815,3,-0.06671157010219286,7,-0.05646911301842859,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,603986,上游,-0.0006091637192605514,1.555547900345121,221,0.03639895997599622,3,-0.04157304071648303,7,0.09620978975374479,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,688008,上游,0.00029039119428298367,1.6260383878019966,221,0.04744702917200168,3,-0.05037481125987344,7,0.04215326091561098,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,688012,上游,0.0013442222125939118,1.5556179684668636,221,-0.019583889539536013,3,-0.04070842108443038,7,-0.0008891847925178858,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,688023,中游,-0.0032563629363177252,2.035552390965989,221,-0.05104359911771153,3,-0.1377721723535355,7,-0.06994488547865053,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,688041,上游,0.001778219370359801,1.5989696621176295,221,0.09469081421416368,3,0.136637718604104,7,0.1876218194659855,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,688088,中游,-0.0014501354166963397,2.2280161643846017,221,-0.0028762637995995988,3,0.009229906292957077,7,0.1274100029598601,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,688111,中游,-0.0011486692094439315,2.113031607826851,221,0.02931031408486201,3,-0.03620139720877692,7,-0.055938756258371185,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,688228,下游,-0.0018860979872505222,2.4546255914030697,221,-0.022269947597521423,3,-0.15484744431114186,7,-0.06970686289228212,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,688256,上游,0.005191674327644529,1.8978164137086886,221,-0.03010728129751586,3,-0.05153454895910295,7,0.05162751556707877,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,688327,中游,-0.0023307063911825647,2.4831484074852033,221,-0.007152239248748284,3,-0.12632378425994145,7,-0.007285692527715458,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,688369,下游,-0.003108784812327266,2.2117575348105767,221,-0.03574684190875131,3,-0.12527298968764228,7,-0.03551697870463436,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,688981,上游,0.002335636053068386,1.417473394980894,221,-0.002896926513212444,3,-0.004506102212309539,7,0.11235220672874625,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,000977,上游,0.0015324982574432507,1.4594680556774702,221,0.04252641964406488,3,0.02146610070997504,7,0.05398199920622922,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,000988,上游,0.0005828398862371844,1.5911938427942007,221,0.02996158348333788,3,0.04050177102375004,7,-0.031647519960402964,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,000997,中游,-0.00031238187831285287,1.5353122414865261,221,0.04887542021227734,3,0.004855282984195259,7,0.022707406807799493,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,002049,上游,-0.00029249695365708115,1.477409725450715,221,0.018213126631518674,3,-0.0033667385746499676,7,-0.025107438761537808,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,002065,下游,0.0009203083096807339,1.2625473000138774,221,-0.005317975677962862,3,-0.012290942705956156,7,0.03509916389336859,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,002131,下游,0.003963007246811564,1.2632655210460388,221,-0.1351580674034648,3,-0.01309755998610139,7,-0.05502723231605457,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,002230,中游,0.000489583358497523,1.2936925139027833,221,-0.0038530960165585057,3,0.009017381470537607,7,0.08744892412112708,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,002236,中游,-0.0006184803073290705,1.369725627895456,221,0.010373598569090236,3,0.014888669763014489,7,0.026116971239885333,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,002253,中游,0.00101403004045358,1.402314879684617,221,-0.17413751884540568,3,-0.19375727558286363,7,-0.23282583675387256,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,002281,上游,0.0014918440236346905,1.807615379096901,221,0.020979997610744146,3,0.011518729604970523,7,-0.049912599589353145,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,002368,下游,-0.000773685405206575,1.7360825146800107,221,0.03129931435198203,3,0.03254288240295134,7,0.0485890312961077,11
