事件,事件日期,基准指数,事件窗口,比较组A,比较组B,比较名称,A组公司数,B组公司数,A组平均CAR,B组平均CAR,A减B差异,差异标准误,Welch_t值,Welch_p值
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-1,+1]",上游,中游,上游 vs 中游,20,20,0.023383315223413643,0.0010449014679518157,0.022338413755461826,0.010587895516050957,2.109806780922366,0.04346500650857971
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-1,+1]",中游,下游,中游 vs 下游,20,20,0.0010449014679518157,-0.017920018982997034,0.01896492045094885,0.00896690249396777,2.114991265234228,0.04188529073138379
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-3,+3]",上游,下游,上游 vs 下游,20,20,-0.014443385983323492,-0.10079910043151832,0.08635571444819483,0.02062925146590673,4.186080846942606,0.00017513854863807608
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-3,+3]",上游,中游,上游 vs 中游,20,20,-0.014443385983323492,-0.06043483780920657,0.04599145182588307,0.018245865233830216,2.5206506370883917,0.016036044731479532
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-3,+3]",中游,下游,中游 vs 下游,20,20,-0.06043483780920657,-0.10079910043151832,0.040364262622311756,0.02086974869063551,1.9341039137871197,0.060913550470613594
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-5,+5]",上游,下游,上游 vs 下游,20,20,0.03248345186328405,-0.09079576777040024,0.1232792196336843,0.02524638435276939,4.883044554463548,2.1660313217853807e-05
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-5,+5]",上游,中游,上游 vs 中游,20,20,0.03248345186328405,-0.05603543910062601,0.08851889096391005,0.021517352217537596,4.1138375237341345,0.0002015614801361669
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-5,+5]",中游,下游,中游 vs 下游,20,20,-0.05603543910062601,-0.09079576777040024,0.034760328669774236,0.024879913454842105,1.3971241794255203,0.17112054125763318
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-1,+1]",上游,下游,上游 vs 下游,20,20,0.014726905272427131,-0.04805453396139958,0.06278143923382672,0.016581526586113827,3.7862279391333566,0.0005643148700513963
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-1,+1]",上游,中游,上游 vs 中游,20,20,0.014726905272427131,-0.020514300580570716,0.03524120585299785,0.015556952873519922,2.2653026038912314,0.029413069989592675
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-1,+1]",中游,下游,中游 vs 下游,20,20,-0.020514300580570716,-0.04805453396139958,0.027540233380828866,0.017647071832865138,1.5606120744371388,0.12699819005194685
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-3,+3]",上游,下游,上游 vs 下游,20,20,0.02889460295751294,0.000945730246570712,0.02794887271094223,0.028059143962917317,0.996070042189426,0.3257171917916869
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-3,+3]",上游,中游,上游 vs 中游,20,20,0.02889460295751294,-0.014132510437864338,0.04302711339537728,0.02733503253228854,1.5740648321728912,0.12424659040696626
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-3,+3]",中游,下游,中游 vs 下游,20,20,-0.014132510437864338,0.000945730246570712,-0.01507824068443505,0.024624017391200962,-0.6123387766052766,0.543976595887805
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-5,+5]",上游,下游,上游 vs 下游,20,20,-0.037796552923711826,0.0749523250887276,-0.11274887801243942,0.03929586353532343,-2.869230190375849,0.0069100564134442636
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-5,+5]",上游,中游,上游 vs 中游,20,20,-0.037796552923711826,0.06583658587054533,-0.10363313879425716,0.03733952613803794,-2.7754272620156692,0.008640715677432001
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-5,+5]",中游,下游,中游 vs 下游,20,20,0.06583658587054533,0.0749523250887276,-0.009115739218182262,0.04273300741003255,-0.21331845733942267,0.8322266060026041
